[run] device=cpu  seed=17  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_botiot/lrsweep_kan8_lr0p001__dir0.1__seed17
[run] model=kan  params=3,280
  round   1/50: acc=0.9213  f1m=0.9213  uplink_kB=150.2  t=2.25s
  round   2/50: acc=0.9361  f1m=0.9361  uplink_kB=150.2  t=1.61s
  round   3/50: acc=0.9375  f1m=0.9375  uplink_kB=150.2  t=1.64s
  round   4/50: acc=0.9474  f1m=0.9474  uplink_kB=150.2  t=1.72s
  round   5/50: acc=0.9603  f1m=0.9603  uplink_kB=150.2  t=1.58s
  round   6/50: acc=0.9636  f1m=0.9635  uplink_kB=150.2  t=1.65s
  round   7/50: acc=0.9686  f1m=0.9686  uplink_kB=150.2  t=1.65s
  round   8/50: acc=0.9684  f1m=0.9684  uplink_kB=150.2  t=1.67s
  round   9/50: acc=0.9705  f1m=0.9705  uplink_kB=150.2  t=1.64s
  round  10/50: acc=0.9703  f1m=0.9703  uplink_kB=150.2  t=1.63s
  round  11/50: acc=0.9701  f1m=0.9701  uplink_kB=150.2  t=1.68s
  round  12/50: acc=0.9718  f1m=0.9718  uplink_kB=150.2  t=1.61s
  round  13/50: acc=0.9718  f1m=0.9718  uplink_kB=150.2  t=1.65s
  round  14/50: acc=0.9718  f1m=0.9718  uplink_kB=150.2  t=1.68s
  round  15/50: acc=0.9720  f1m=0.9719  uplink_kB=150.2  t=1.68s
  round  16/50: acc=0.9721  f1m=0.9721  uplink_kB=150.2  t=1.63s
  round  17/50: acc=0.9721  f1m=0.9721  uplink_kB=150.2  t=1.74s
  round  18/50: acc=0.9723  f1m=0.9723  uplink_kB=150.2  t=1.61s
  round  19/50: acc=0.9725  f1m=0.9725  uplink_kB=150.2  t=1.68s
  round  20/50: acc=0.9724  f1m=0.9724  uplink_kB=150.2  t=1.65s
  round  21/50: acc=0.9725  f1m=0.9724  uplink_kB=150.2  t=1.63s
  round  22/50: acc=0.9733  f1m=0.9733  uplink_kB=150.2  t=1.67s
  round  23/50: acc=0.9733  f1m=0.9733  uplink_kB=150.2  t=1.65s
  round  24/50: acc=0.9735  f1m=0.9735  uplink_kB=150.2  t=1.70s
  round  25/50: acc=0.9735  f1m=0.9735  uplink_kB=150.2  t=1.59s
  round  26/50: acc=0.9736  f1m=0.9736  uplink_kB=150.2  t=1.67s
  round  27/50: acc=0.9735  f1m=0.9735  uplink_kB=150.2  t=1.59s
  round  28/50: acc=0.9735  f1m=0.9735  uplink_kB=150.2  t=1.63s
  round  29/50: acc=0.9736  f1m=0.9736  uplink_kB=150.2  t=1.63s
  round  30/50: acc=0.9736  f1m=0.9736  uplink_kB=150.2  t=1.62s
  round  31/50: acc=0.9735  f1m=0.9735  uplink_kB=150.2  t=1.64s
  round  32/50: acc=0.9736  f1m=0.9736  uplink_kB=150.2  t=1.62s
  round  33/50: acc=0.9739  f1m=0.9739  uplink_kB=150.2  t=1.67s
  round  34/50: acc=0.9739  f1m=0.9739  uplink_kB=150.2  t=1.60s
  round  35/50: acc=0.9740  f1m=0.9740  uplink_kB=150.2  t=1.66s
  round  36/50: acc=0.9740  f1m=0.9740  uplink_kB=150.2  t=1.63s
  round  37/50: acc=0.9740  f1m=0.9740  uplink_kB=150.2  t=1.63s
  round  38/50: acc=0.9739  f1m=0.9739  uplink_kB=150.2  t=1.67s
  round  39/50: acc=0.9740  f1m=0.9739  uplink_kB=150.2  t=1.61s
  round  40/50: acc=0.9740  f1m=0.9739  uplink_kB=150.2  t=1.66s
  round  41/50: acc=0.9740  f1m=0.9740  uplink_kB=150.2  t=1.65s
  round  42/50: acc=0.9740  f1m=0.9740  uplink_kB=150.2  t=1.66s
  round  43/50: acc=0.9742  f1m=0.9742  uplink_kB=150.2  t=1.63s
  round  44/50: acc=0.9741  f1m=0.9740  uplink_kB=150.2  t=1.67s
  round  45/50: acc=0.9741  f1m=0.9740  uplink_kB=150.2  t=1.68s
  round  46/50: acc=0.9743  f1m=0.9742  uplink_kB=150.2  t=1.57s
  round  47/50: acc=0.9742  f1m=0.9742  uplink_kB=150.2  t=1.62s
  round  48/50: acc=0.9742  f1m=0.9742  uplink_kB=150.2  t=1.62s
  round  49/50: acc=0.9742  f1m=0.9742  uplink_kB=150.2  t=1.70s
  round  50/50: acc=0.9742  f1m=0.9742  uplink_kB=150.2  t=1.61s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_botiot/lrsweep_kan8_lr0p001__dir0.1__seed17/metrics.json  final_acc=0.9742
