[run] device=cpu  seed=11  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_cseciic/lrext_kan8_lr1__dir0.1__seed11
[run] model=kan  params=3,280
  round   1/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=2.86s
  round   2/50: acc=0.4969  f1m=0.3330  uplink_kB=150.2  t=2.15s
  round   3/50: acc=0.4970  f1m=0.3332  uplink_kB=150.2  t=2.06s
  round   4/50: acc=0.4971  f1m=0.3334  uplink_kB=150.2  t=2.05s
  round   5/50: acc=0.4971  f1m=0.3334  uplink_kB=150.2  t=2.10s
  round   6/50: acc=0.4972  f1m=0.3335  uplink_kB=150.2  t=2.07s
  round   7/50: acc=0.4972  f1m=0.3335  uplink_kB=150.2  t=2.01s
  round   8/50: acc=0.4972  f1m=0.3336  uplink_kB=150.2  t=2.09s
  round   9/50: acc=0.4972  f1m=0.3336  uplink_kB=150.2  t=2.05s
  round  10/50: acc=0.4972  f1m=0.3336  uplink_kB=150.2  t=2.04s
  round  11/50: acc=0.4973  f1m=0.3338  uplink_kB=150.2  t=2.07s
  round  12/50: acc=0.4974  f1m=0.3340  uplink_kB=150.2  t=2.01s
  round  13/50: acc=0.4975  f1m=0.3342  uplink_kB=150.2  t=2.05s
  round  14/50: acc=0.4975  f1m=0.3342  uplink_kB=150.2  t=2.04s
  round  15/50: acc=0.4975  f1m=0.3342  uplink_kB=150.2  t=2.09s
  round  16/50: acc=0.4975  f1m=0.3342  uplink_kB=150.2  t=2.05s
  round  17/50: acc=0.4975  f1m=0.3342  uplink_kB=150.2  t=2.09s
  round  18/50: acc=0.4975  f1m=0.3343  uplink_kB=150.2  t=2.03s
  round  19/50: acc=0.4975  f1m=0.3343  uplink_kB=150.2  t=2.06s
  round  20/50: acc=0.4975  f1m=0.3343  uplink_kB=150.2  t=1.94s
  round  21/50: acc=0.4976  f1m=0.3344  uplink_kB=150.2  t=2.08s
  round  22/50: acc=0.4976  f1m=0.3344  uplink_kB=150.2  t=2.10s
  round  23/50: acc=0.4976  f1m=0.3344  uplink_kB=150.2  t=2.12s
  round  24/50: acc=0.4976  f1m=0.3344  uplink_kB=150.2  t=2.05s
  round  25/50: acc=0.4976  f1m=0.3344  uplink_kB=150.2  t=2.04s
  round  26/50: acc=0.4975  f1m=0.3344  uplink_kB=150.2  t=2.07s
  round  27/50: acc=0.4975  f1m=0.3344  uplink_kB=150.2  t=2.07s
  round  28/50: acc=0.4975  f1m=0.3344  uplink_kB=150.2  t=2.06s
  round  29/50: acc=0.4975  f1m=0.3344  uplink_kB=150.2  t=2.08s
  round  30/50: acc=0.4975  f1m=0.3344  uplink_kB=150.2  t=2.06s
  round  31/50: acc=0.4975  f1m=0.3344  uplink_kB=150.2  t=2.00s
  round  32/50: acc=0.4975  f1m=0.3344  uplink_kB=150.2  t=2.27s
  round  33/50: acc=0.4976  f1m=0.3344  uplink_kB=150.2  t=2.19s
  round  34/50: acc=0.4976  f1m=0.3344  uplink_kB=150.2  t=2.09s
  round  35/50: acc=0.4976  f1m=0.3344  uplink_kB=150.2  t=2.23s
  round  36/50: acc=0.4976  f1m=0.3345  uplink_kB=150.2  t=2.12s
  round  37/50: acc=0.4976  f1m=0.3345  uplink_kB=150.2  t=2.16s
  round  38/50: acc=0.4976  f1m=0.3345  uplink_kB=150.2  t=2.12s
  round  39/50: acc=0.4976  f1m=0.3345  uplink_kB=150.2  t=2.22s
  round  40/50: acc=0.4976  f1m=0.3346  uplink_kB=150.2  t=2.13s
  round  41/50: acc=0.4977  f1m=0.3346  uplink_kB=150.2  t=2.11s
  round  42/50: acc=0.4977  f1m=0.3347  uplink_kB=150.2  t=2.07s
  round  43/50: acc=0.4977  f1m=0.3347  uplink_kB=150.2  t=2.09s
  round  44/50: acc=0.4977  f1m=0.3347  uplink_kB=150.2  t=2.04s
  round  45/50: acc=0.4977  f1m=0.3347  uplink_kB=150.2  t=2.11s
  round  46/50: acc=0.4977  f1m=0.3347  uplink_kB=150.2  t=2.07s
  round  47/50: acc=0.4977  f1m=0.3347  uplink_kB=150.2  t=2.08s
  round  48/50: acc=0.4977  f1m=0.3348  uplink_kB=150.2  t=2.22s
  round  49/50: acc=0.4977  f1m=0.3348  uplink_kB=150.2  t=2.23s
  round  50/50: acc=0.4977  f1m=0.3348  uplink_kB=150.2  t=2.03s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_cseciic/lrext_kan8_lr1__dir0.1__seed11/metrics.json  final_acc=0.4977
