[run] device=cpu  seed=42  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_botiot/lrsweep_kan8_lr0p01__dir0.1__seed42
[run] model=kan  params=3,280
  round   1/50: acc=0.5069  f1m=0.3502  uplink_kB=150.2  t=2.23s
  round   2/50: acc=0.9650  f1m=0.9650  uplink_kB=150.2  t=1.60s
  round   3/50: acc=0.9727  f1m=0.9727  uplink_kB=150.2  t=1.61s
  round   4/50: acc=0.9737  f1m=0.9736  uplink_kB=150.2  t=1.65s
  round   5/50: acc=0.9747  f1m=0.9747  uplink_kB=150.2  t=1.70s
  round   6/50: acc=0.9751  f1m=0.9750  uplink_kB=150.2  t=1.61s
  round   7/50: acc=0.9748  f1m=0.9748  uplink_kB=150.2  t=1.58s
  round   8/50: acc=0.9748  f1m=0.9748  uplink_kB=150.2  t=1.67s
  round   9/50: acc=0.9749  f1m=0.9749  uplink_kB=150.2  t=1.75s
  round  10/50: acc=0.9751  f1m=0.9751  uplink_kB=150.2  t=1.66s
  round  11/50: acc=0.9756  f1m=0.9756  uplink_kB=150.2  t=1.65s
  round  12/50: acc=0.9966  f1m=0.9966  uplink_kB=150.2  t=1.56s
  round  13/50: acc=0.9757  f1m=0.9757  uplink_kB=150.2  t=1.66s
  round  14/50: acc=0.9754  f1m=0.9753  uplink_kB=150.2  t=1.65s
  round  15/50: acc=0.9755  f1m=0.9755  uplink_kB=150.2  t=1.68s
  round  16/50: acc=0.9756  f1m=0.9756  uplink_kB=150.2  t=1.65s
  round  17/50: acc=0.9963  f1m=0.9963  uplink_kB=150.2  t=1.65s
  round  18/50: acc=0.9755  f1m=0.9755  uplink_kB=150.2  t=1.57s
  round  19/50: acc=0.9757  f1m=0.9757  uplink_kB=150.2  t=1.61s
  round  20/50: acc=0.9754  f1m=0.9753  uplink_kB=150.2  t=1.64s
  round  21/50: acc=0.9962  f1m=0.9962  uplink_kB=150.2  t=1.63s
  round  22/50: acc=0.9754  f1m=0.9754  uplink_kB=150.2  t=1.61s
  round  23/50: acc=0.9753  f1m=0.9753  uplink_kB=150.2  t=1.60s
  round  24/50: acc=0.9756  f1m=0.9756  uplink_kB=150.2  t=1.60s
  round  25/50: acc=0.9755  f1m=0.9755  uplink_kB=150.2  t=1.55s
  round  26/50: acc=0.9966  f1m=0.9966  uplink_kB=150.2  t=1.68s
  round  27/50: acc=0.9757  f1m=0.9757  uplink_kB=150.2  t=1.66s
  round  28/50: acc=0.9757  f1m=0.9757  uplink_kB=150.2  t=1.59s
  round  29/50: acc=0.9756  f1m=0.9756  uplink_kB=150.2  t=1.60s
  round  30/50: acc=0.9756  f1m=0.9756  uplink_kB=150.2  t=1.63s
  round  31/50: acc=0.9973  f1m=0.9973  uplink_kB=150.2  t=1.64s
  round  32/50: acc=0.9973  f1m=0.9973  uplink_kB=150.2  t=1.60s
  round  33/50: acc=0.9971  f1m=0.9971  uplink_kB=150.2  t=1.68s
  round  34/50: acc=0.9963  f1m=0.9963  uplink_kB=150.2  t=1.62s
  round  35/50: acc=0.9970  f1m=0.9970  uplink_kB=150.2  t=1.58s
  round  36/50: acc=0.9969  f1m=0.9969  uplink_kB=150.2  t=1.57s
  round  37/50: acc=0.9974  f1m=0.9974  uplink_kB=150.2  t=1.62s
  round  38/50: acc=0.9971  f1m=0.9971  uplink_kB=150.2  t=1.64s
  round  39/50: acc=0.9964  f1m=0.9964  uplink_kB=150.2  t=1.58s
  round  40/50: acc=0.9966  f1m=0.9966  uplink_kB=150.2  t=1.64s
  round  41/50: acc=0.9969  f1m=0.9969  uplink_kB=150.2  t=1.64s
  round  42/50: acc=0.9971  f1m=0.9971  uplink_kB=150.2  t=1.58s
  round  43/50: acc=0.9969  f1m=0.9969  uplink_kB=150.2  t=1.63s
  round  44/50: acc=0.9972  f1m=0.9972  uplink_kB=150.2  t=1.64s
  round  45/50: acc=0.9965  f1m=0.9965  uplink_kB=150.2  t=1.61s
  round  46/50: acc=0.9971  f1m=0.9971  uplink_kB=150.2  t=1.56s
  round  47/50: acc=0.9962  f1m=0.9962  uplink_kB=150.2  t=1.68s
  round  48/50: acc=0.9966  f1m=0.9966  uplink_kB=150.2  t=1.59s
  round  49/50: acc=0.9972  f1m=0.9972  uplink_kB=150.2  t=1.63s
  round  50/50: acc=0.9963  f1m=0.9963  uplink_kB=150.2  t=1.66s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_botiot/lrsweep_kan8_lr0p01__dir0.1__seed42/metrics.json  final_acc=0.9963
