[run] device=cpu  seed=29  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_cseciic_mc50k/lrext_mlp80_lr0p3__dir0.1__seed29
[run] model=mlp  params=4,415
  round   1/50: acc=0.0344  f1m=0.0044  uplink_kB=172.5  t=2.34s
  round   2/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.53s
  round   3/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.59s
  round   4/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.48s
  round   5/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.51s
  round   6/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.47s
  round   7/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.56s
  round   8/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.50s
  round   9/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.53s
  round  10/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.46s
  round  11/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.51s
  round  12/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.53s
  round  13/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.46s
  round  14/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.46s
  round  15/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.42s
  round  16/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.52s
  round  17/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.44s
  round  18/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.51s
  round  19/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.49s
  round  20/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.53s
  round  21/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.42s
  round  22/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.45s
  round  23/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.41s
  round  24/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.50s
  round  25/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.46s
  round  26/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.58s
  round  27/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.48s
  round  28/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.53s
  round  29/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.37s
  round  30/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.50s
  round  31/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.45s
  round  32/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.51s
  round  33/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.46s
  round  34/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.46s
  round  35/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.49s
  round  36/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.67s
  round  37/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.44s
  round  38/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.49s
  round  39/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.47s
  round  40/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.57s
  round  41/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.40s
  round  42/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.56s
  round  43/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.45s
  round  44/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.49s
  round  45/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.71s
  round  46/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.56s
  round  47/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.53s
  round  48/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.48s
  round  49/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.49s
  round  50/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=1.48s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_cseciic_mc50k/lrext_mlp80_lr0p3__dir0.1__seed29/metrics.json  final_acc=0.1217
