[run] device=cpu  seed=11  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_toniot/lrsweep_kan16_lr0p1__dir0.1__seed11
[run] model=kan  params=6,560
  round   1/50: acc=0.6547  f1m=0.6411  uplink_kB=282.0  t=2.27s
  round   2/50: acc=0.5709  f1m=0.4939  uplink_kB=282.0  t=1.86s
  round   3/50: acc=0.5114  f1m=0.3738  uplink_kB=282.0  t=1.85s
  round   4/50: acc=0.6451  f1m=0.6313  uplink_kB=282.0  t=1.88s
  round   5/50: acc=0.4376  f1m=0.3658  uplink_kB=282.0  t=1.92s
  round   6/50: acc=0.5203  f1m=0.3808  uplink_kB=282.0  t=1.87s
  round   7/50: acc=0.4942  f1m=0.3330  uplink_kB=282.0  t=1.81s
  round   8/50: acc=0.5456  f1m=0.4889  uplink_kB=282.0  t=1.86s
  round   9/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.85s
  round  10/50: acc=0.5763  f1m=0.5066  uplink_kB=282.0  t=1.87s
  round  11/50: acc=0.5050  f1m=0.3447  uplink_kB=282.0  t=1.89s
  round  12/50: acc=0.7745  f1m=0.7645  uplink_kB=282.0  t=1.98s
  round  13/50: acc=0.4956  f1m=0.3320  uplink_kB=282.0  t=1.97s
  round  14/50: acc=0.5000  f1m=0.3336  uplink_kB=282.0  t=1.93s
  round  15/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.92s
  round  16/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.90s
  round  17/50: acc=0.7179  f1m=0.6942  uplink_kB=282.0  t=1.93s
  round  18/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.80s
  round  19/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.81s
  round  20/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.89s
  round  21/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.86s
  round  22/50: acc=0.4715  f1m=0.4070  uplink_kB=282.0  t=1.86s
  round  23/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.89s
  round  24/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.88s
  round  25/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.78s
  round  26/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.90s
  round  27/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.87s
  round  28/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.85s
  round  29/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.85s
  round  30/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.83s
  round  31/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.78s
  round  32/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.86s
  round  33/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.87s
  round  34/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.84s
  round  35/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.86s
  round  36/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.87s
  round  37/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.87s
  round  38/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.80s
  round  39/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.87s
  round  40/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.84s
  round  41/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.90s
  round  42/50: acc=0.4929  f1m=0.3346  uplink_kB=282.0  t=1.90s
  round  43/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.88s
  round  44/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.77s
  round  45/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.87s
  round  46/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.86s
  round  47/50: acc=0.3570  f1m=0.3396  uplink_kB=282.0  t=1.86s
  round  48/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.85s
  round  49/50: acc=0.5000  f1m=0.3334  uplink_kB=282.0  t=1.88s
  round  50/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.89s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_toniot/lrsweep_kan16_lr0p1__dir0.1__seed11/metrics.json  final_acc=0.5000
