round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,2.9362654589999995,153760,153760,0.5043074373157053,0.3409439897602118,0.34165858231910046
2,1.8629402919999993,153760,153760,0.5011467226858365,0.3339456730165246,0.3346724383591654
3,1.8938263749999997,153760,153760,0.6797656445737853,0.6426652312527041,0.6429159846892304
4,1.815236583999999,153760,153760,0.5077379690481238,0.36677742198887203,0.36612677283983014
5,1.799938417,153760,153760,0.49885327731416346,0.33282328888660295,0.33209846317603603
6,1.784963874999999,153760,153760,0.5101470503208896,0.3536756235451985,0.3543681919441665
7,1.8716289579999987,153760,153760,0.593963805962958,0.5436481896231202,0.5433181841296846
8,1.8600150410000005,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
9,1.8287895000000027,153760,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
10,1.7511421250000012,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
11,1.825564749999998,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
12,1.8169995420000014,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
13,1.8053107079999968,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
14,1.8659390000000045,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
15,1.7812197079999947,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
16,1.8400461250000006,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
17,1.8563742079999983,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
18,1.8745093340000025,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
19,1.8419187499999978,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
20,1.805806582999999,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
21,1.7603964999999988,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
22,1.7922803330000008,153760,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
23,1.808838416999997,153760,153760,0.7942644593057991,0.7878181335238592,0.7877375900902724
24,1.8571387500000043,153760,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
25,1.819838666999999,153760,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
26,1.7884086249999953,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
27,1.7403197079999941,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
28,1.6772281249999992,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
29,1.6829143750000028,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
30,1.6810917919999966,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
31,1.7031146670000012,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
32,1.7544663329999963,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
33,1.80268375,153760,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
34,1.753844166999997,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
35,1.6513459589999968,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
36,1.3599942089999928,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
37,1.7213580829999984,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
38,1.5839480840000135,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
39,1.3694235829999997,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
40,1.399342666999999,153760,153760,0.7171160406267466,0.6921177579040402,0.6923088168115591
41,1.5916036250000047,153760,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
42,1.743428124999994,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
43,1.7052893750000067,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
44,1.7625446249999897,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
45,1.6508265830000113,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
46,1.767550374999999,153760,153760,0.5011081773854723,0.33385985382997885,0.33458676873292786
47,1.8014525419999927,153760,153760,0.498930367914892,0.33289176390503616,0.3321669565862881
48,1.741538417000001,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
49,1.6440190409999929,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
50,1.3768899590000103,153760,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
