[run] device=cpu  seed=42  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_botiot/lrsweep_mlp32_lr0p003__dir0.1__seed42
[run] model=mlp  params=1,346
  round   1/50: acc=0.9331  f1m=0.9331  uplink_kB=52.6  t=1.31s
  round   2/50: acc=0.9427  f1m=0.9427  uplink_kB=52.6  t=0.68s
  round   3/50: acc=0.9537  f1m=0.9537  uplink_kB=52.6  t=0.65s
  round   4/50: acc=0.9644  f1m=0.9644  uplink_kB=52.6  t=0.64s
  round   5/50: acc=0.9701  f1m=0.9700  uplink_kB=52.6  t=0.69s
  round   6/50: acc=0.9703  f1m=0.9703  uplink_kB=52.6  t=0.65s
  round   7/50: acc=0.9722  f1m=0.9722  uplink_kB=52.6  t=0.68s
  round   8/50: acc=0.9722  f1m=0.9722  uplink_kB=52.6  t=0.68s
  round   9/50: acc=0.9733  f1m=0.9733  uplink_kB=52.6  t=0.68s
  round  10/50: acc=0.9736  f1m=0.9736  uplink_kB=52.6  t=0.63s
  round  11/50: acc=0.9743  f1m=0.9743  uplink_kB=52.6  t=0.67s
  round  12/50: acc=0.9743  f1m=0.9743  uplink_kB=52.6  t=0.68s
  round  13/50: acc=0.9743  f1m=0.9743  uplink_kB=52.6  t=0.63s
  round  14/50: acc=0.9743  f1m=0.9743  uplink_kB=52.6  t=0.66s
  round  15/50: acc=0.9743  f1m=0.9743  uplink_kB=52.6  t=0.65s
  round  16/50: acc=0.9743  f1m=0.9743  uplink_kB=52.6  t=0.66s
  round  17/50: acc=0.9742  f1m=0.9742  uplink_kB=52.6  t=0.67s
  round  18/50: acc=0.9742  f1m=0.9742  uplink_kB=52.6  t=0.64s
  round  19/50: acc=0.9742  f1m=0.9742  uplink_kB=52.6  t=0.69s
  round  20/50: acc=0.9743  f1m=0.9743  uplink_kB=52.6  t=0.61s
  round  21/50: acc=0.9742  f1m=0.9742  uplink_kB=52.6  t=0.65s
  round  22/50: acc=0.9743  f1m=0.9743  uplink_kB=52.6  t=0.65s
  round  23/50: acc=0.9743  f1m=0.9743  uplink_kB=52.6  t=0.69s
  round  24/50: acc=0.9743  f1m=0.9743  uplink_kB=52.6  t=0.69s
  round  25/50: acc=0.9743  f1m=0.9743  uplink_kB=52.6  t=0.68s
  round  26/50: acc=0.9743  f1m=0.9743  uplink_kB=52.6  t=0.61s
  round  27/50: acc=0.9743  f1m=0.9743  uplink_kB=52.6  t=0.65s
  round  28/50: acc=0.9744  f1m=0.9744  uplink_kB=52.6  t=0.70s
  round  29/50: acc=0.9752  f1m=0.9752  uplink_kB=52.6  t=0.64s
  round  30/50: acc=0.9752  f1m=0.9752  uplink_kB=52.6  t=0.65s
  round  31/50: acc=0.9752  f1m=0.9752  uplink_kB=52.6  t=0.64s
  round  32/50: acc=0.9752  f1m=0.9752  uplink_kB=52.6  t=0.65s
  round  33/50: acc=0.9752  f1m=0.9752  uplink_kB=52.6  t=0.62s
  round  34/50: acc=0.9752  f1m=0.9752  uplink_kB=52.6  t=0.66s
  round  35/50: acc=0.9752  f1m=0.9752  uplink_kB=52.6  t=0.66s
  round  36/50: acc=0.9752  f1m=0.9752  uplink_kB=52.6  t=0.66s
  round  37/50: acc=0.9753  f1m=0.9753  uplink_kB=52.6  t=0.65s
  round  38/50: acc=0.9753  f1m=0.9752  uplink_kB=52.6  t=0.65s
  round  39/50: acc=0.9754  f1m=0.9754  uplink_kB=52.6  t=0.58s
  round  40/50: acc=0.9757  f1m=0.9757  uplink_kB=52.6  t=0.71s
  round  41/50: acc=0.9755  f1m=0.9755  uplink_kB=52.6  t=0.66s
  round  42/50: acc=0.9757  f1m=0.9757  uplink_kB=52.6  t=0.68s
  round  43/50: acc=0.9755  f1m=0.9755  uplink_kB=52.6  t=0.66s
  round  44/50: acc=0.9968  f1m=0.9968  uplink_kB=52.6  t=0.66s
  round  45/50: acc=0.9968  f1m=0.9968  uplink_kB=52.6  t=0.65s
  round  46/50: acc=0.9968  f1m=0.9968  uplink_kB=52.6  t=0.67s
  round  47/50: acc=0.9968  f1m=0.9968  uplink_kB=52.6  t=0.68s
  round  48/50: acc=0.9965  f1m=0.9965  uplink_kB=52.6  t=0.65s
  round  49/50: acc=0.9968  f1m=0.9968  uplink_kB=52.6  t=0.65s
  round  50/50: acc=0.9968  f1m=0.9968  uplink_kB=52.6  t=0.60s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_botiot/lrsweep_mlp32_lr0p003__dir0.1__seed42/metrics.json  final_acc=0.9968
