round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,1.3206337500000003,134480,134480,0.6835961538461538,0.680433589326775,0.6804335893267749
2,0.7686899999999999,134480,134480,0.5344807692307693,0.42080432921814065,0.42080432921814065
3,0.8001066669999997,134480,134480,0.55875,0.466934240890633,0.46693424089063296
4,0.7754294579999996,134480,134480,0.5706346153846154,0.48723822916669274,0.48723822916669274
5,0.7753707500000004,134480,134480,0.5735192307692307,0.49236845596115675,0.4923684559611568
6,0.7778488750000001,134480,134480,0.5762692307692308,0.49699038898709835,0.49699038898709835
7,0.7233427079999997,134480,134480,0.5785576923076923,0.4998791752096605,0.4998791752096605
8,0.7398619590000006,134480,134480,0.5786923076923077,0.4998305489038168,0.4998305489038168
9,0.7493228330000008,134480,134480,0.5783269230769231,0.4991514276983948,0.4991514276983948
10,0.8529228749999991,134480,134480,0.5851153846153846,0.5041546719190986,0.5041546719190986
11,0.8028952910000005,134480,134480,0.5794423076923076,0.4943174086215145,0.4943174086215145
12,0.8314551660000014,134480,134480,0.579173076923077,0.49314561825285397,0.4931456182528539
13,0.8160173750000013,134480,134480,0.5816923076923077,0.4983981925547229,0.49839819255472284
14,0.8123534160000005,134480,134480,0.5817307692307693,0.49853853467550613,0.4985385346755062
15,0.8326174159999997,134480,134480,0.5819423076923077,0.4986697050716549,0.4986697050716549
16,0.7761426670000002,134480,134480,0.5859038461538462,0.5045163231649524,0.5045163231649524
17,0.835454167,134480,134480,0.5833461538461538,0.500662691228436,0.5006626912284359
18,0.8224574159999989,134480,134480,0.8051730769230769,0.7981508617812232,0.7981508617812232
19,0.8389502919999998,134480,134480,0.5940576923076923,0.5194348285155989,0.5194348285155989
20,0.8308739590000016,134480,134480,0.803923076923077,0.7971202670790428,0.7971202670790427
21,0.8036365419999996,134480,134480,0.8053653846153846,0.7986784776685504,0.7986784776685504
22,0.840958999999998,134480,134480,0.8136538461538462,0.8078517876226825,0.8078517876226825
23,0.7687425000000019,134480,134480,0.8826153846153846,0.8813251429675564,0.8813251429675564
24,0.8396603750000011,134480,134480,0.8854807692307692,0.8843118426979719,0.884311842697972
25,0.8533473330000021,134480,134480,0.8827692307692308,0.8814468163039781,0.8814468163039781
26,0.7966567920000003,134480,134480,0.8708269230769231,0.8689144035678602,0.8689144035678602
27,0.8331164999999991,134480,134480,0.8786153846153846,0.8770701739779284,0.8770701739779285
28,0.842695667000001,134480,134480,0.8883076923076924,0.8871899813228779,0.8871899813228779
29,0.8321264580000012,134480,134480,0.8882884615384615,0.8871701217873493,0.8871701217873493
30,0.7736690830000015,134480,134480,0.8885576923076923,0.887451603587285,0.887451603587285
31,0.8356905419999983,134480,134480,0.8883076923076924,0.887185614900055,0.887185614900055
32,0.8080165830000006,134480,134480,0.8906923076923077,0.8896129244149598,0.8896129244149598
33,0.8510518749999996,134480,134480,0.8873846153846154,0.8862015490123529,0.8862015490123527
34,0.8417523329999987,134480,134480,0.8899423076923076,0.8888336349681065,0.8888336349681065
35,0.7434780839999995,134480,134480,0.8938269230769231,0.8928228872104904,0.8928228872104904
36,0.8558882919999995,134480,134480,0.8955384615384615,0.8946316477826891,0.894631647782689
37,0.8541135000000004,134480,134480,0.8870961538461538,0.885826766675481,0.885826766675481
38,0.8158316249999942,134480,134480,0.8960384615384616,0.8951382511915877,0.8951382511915877
39,0.8327888339999987,134480,134480,0.8969615384615385,0.8960139231883899,0.8960139231883899
40,0.8857719580000065,134480,134480,0.8966538461538461,0.8957111141195024,0.8957111141195024
41,0.9052547499999974,134480,134480,0.8961923076923077,0.8952622957548348,0.8952622957548348
42,0.8657217080000024,134480,134480,0.8952307692307693,0.8942983171445569,0.8942983171445569
43,0.751795333000004,134480,134480,0.8911346153846154,0.8900353922068154,0.8900353922068154
44,0.8281070000000028,134480,134480,0.8934807692307692,0.8924564155950108,0.8924564155950108
45,0.8317884170000056,134480,134480,0.8930576923076923,0.8920037395077687,0.8920037395077687
46,0.8240297090000013,134480,134480,0.9028461538461539,0.9020859174784568,0.9020859174784567
47,0.8471047079999963,134480,134480,0.9032884615384615,0.9025240095076627,0.9025240095076627
48,0.8269622500000011,134480,134480,0.9171923076923076,0.9167677185239291,0.9167677185239292
49,0.7557090829999993,134480,134480,0.9053846153846153,0.9047085393872116,0.9047085393872116
50,0.8354140829999963,134480,134480,0.8927884615384616,0.8917664547192881,0.891766454719288
