[run] device=cpu  seed=37  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/scaffold_sgd/scaffold_sgd_mlp80__dir0.1__seed37
[run] model=mlp  params=3,362
  round   1/50: acc=0.8113  f1m=0.8075  uplink_kB=262.7  t=1.47s
  round   2/50: acc=0.4981  f1m=0.3325  uplink_kB=262.7  t=0.97s
  round   3/50: acc=0.7154  f1m=0.6910  uplink_kB=262.7  t=1.06s
  round   4/50: acc=0.5406  f1m=0.4191  uplink_kB=262.7  t=0.97s
  round   5/50: acc=0.7314  f1m=0.7116  uplink_kB=262.7  t=0.97s
  round   6/50: acc=0.7326  f1m=0.7126  uplink_kB=262.7  t=0.81s
  round   7/50: acc=0.7874  f1m=0.7781  uplink_kB=262.7  t=0.90s
  round   8/50: acc=0.7398  f1m=0.7216  uplink_kB=262.7  t=0.86s
  round   9/50: acc=0.8840  f1m=0.8826  uplink_kB=262.7  t=0.86s
  round  10/50: acc=0.7883  f1m=0.7787  uplink_kB=262.7  t=0.84s
  round  11/50: acc=0.9268  f1m=0.9264  uplink_kB=262.7  t=0.93s
  round  12/50: acc=0.8765  f1m=0.8747  uplink_kB=262.7  t=0.80s
  round  13/50: acc=0.9417  f1m=0.9415  uplink_kB=262.7  t=1.00s
  round  14/50: acc=0.9228  f1m=0.9227  uplink_kB=262.7  t=0.97s
  round  15/50: acc=0.9376  f1m=0.9376  uplink_kB=262.7  t=0.87s
  round  16/50: acc=0.8947  f1m=0.8936  uplink_kB=262.7  t=0.86s
  round  17/50: acc=0.9352  f1m=0.9350  uplink_kB=262.7  t=0.88s
  round  18/50: acc=0.9289  f1m=0.9286  uplink_kB=262.7  t=0.86s
  round  19/50: acc=0.9553  f1m=0.9553  uplink_kB=262.7  t=0.87s
  round  20/50: acc=0.9511  f1m=0.9510  uplink_kB=262.7  t=0.82s
  round  21/50: acc=0.9290  f1m=0.9287  uplink_kB=262.7  t=0.89s
  round  22/50: acc=0.9530  f1m=0.9530  uplink_kB=262.7  t=0.86s
  round  23/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.89s
  round  24/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.88s
  round  25/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.87s
  round  26/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.78s
  round  27/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.86s
  round  28/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.89s
  round  29/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.83s
  round  30/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.86s
  round  31/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.86s
  round  32/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.84s
  round  33/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.80s
  round  34/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.90s
  round  35/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.88s
  round  36/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.94s
  round  37/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.90s
  round  38/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.90s
  round  39/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.90s
  round  40/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.94s
  round  41/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.88s
  round  42/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.83s
  round  43/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.91s
  round  44/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.88s
  round  45/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.91s
  round  46/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=1.05s
  round  47/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.96s
  round  48/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=1.13s
  round  49/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.88s
  round  50/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.95s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/scaffold_sgd/scaffold_sgd_mlp80__dir0.1__seed37/metrics.json  final_acc=0.4989
