cell,dataset,mode,downsample,arch,lr,seed,algo,grid_size,n_params,acc_last,acc_mean5,acc_mean10,acc_best,f1_macro,fpr,mcc,uplink_total_MB,rounds,osc10
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.0003,2026,fedavg,5,6560,0.49891109526470984,0.49891109526470984,0.49891109526470984,0.49891109526470984,0.3328490240954561,0.0,,14.44,50,0.0
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.003,31,fedavg,5,3362,0.9474049376529766,0.9475321371441787,0.9476747547555264,0.9528976429548828,0.947403974840409,0.05481515818750726,0.8948163118403155,6.724,50,0.008267966928132364
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.003,23,fedavg,5,1346,0.968624125503498,0.9676990382947558,0.9661090446547302,0.968624125503498,0.9685997050532507,0.0013134005485379019,0.9389547660357802,2.692,50,0.007940331875036066
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.03,2024,fedavg,5,1346,0.8587122015148303,0.8520284464316689,0.8525488079865863,0.8587122015148303,0.8558046093524876,0.28172441766137446,0.7470949958648732,2.692,50,0.025439898240407044
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.1,31,fedavg,5,1346,0.9946614758995509,0.9523502996897102,0.9454237092142541,0.9946614758995509,0.9946613933772872,0.007107814733263829,0.9893289058277313,2.692,50,0.0752596989612041
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.01,23,fedavg,5,3362,0.9734808333493938,0.9715227320908898,0.9695453581822037,0.9734808333493938,0.9734656546409992,0.0004249237068798539,0.9482594912617054,6.724,50,0.007092335267022576
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.03,42,fedavg,5,6560,0.9738277410526721,0.9835334476843911,0.981648582496579,0.9972247383737738,0.9738133350256308,0.0005408119905744302,0.9489085562685787,14.44,50,0.023396997321101676
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.03,2026,fedavg,5,3280,0.9058338312101297,0.906207720623663,0.9052980515350665,0.9439744059205581,0.9050302103117311,0.0,0.8265222096090553,7.688,50,0.06756991153853564
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.01,31,fedavg,5,1346,0.969684121263515,0.969938520245919,0.9652995933470813,0.9700695742671575,0.96967680434988,0.012631822922702485,0.9399624633524906,2.692,50,0.015996299651165002
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.1,2024,fedavg,5,6560,0.8418100873051053,0.8640584346753523,0.8555225779096883,0.9266868387071906,0.8376980062734238,0.31587283192335924,0.7198596844980965,14.44,50,0.08907818914178889
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.001,2024,fedavg,5,6560,0.6816543642916337,0.7534835315204194,0.7739954131092567,0.9020371191242508,0.6548042992293575,0.5963611078919921,0.43550780180376236,14.44,50,0.15327538689845244
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.1,2024,fedavg,5,1346,0.9081080039316206,0.8934260990228766,0.876581802763698,0.913195983579702,0.9072970484352068,0.18364430022791367,0.8301261585128054,2.692,50,0.05988012411586707
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.03,17,fedavg,5,6560,0.9986701871374333,0.9982230616532078,0.9979860080559677,0.9986701871374333,0.9986701838161784,0.0007339591300652426,0.9973410805849735,14.44,50,0.0018887197178484305
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.1,31,fedavg,5,3280,0.9560198122843873,0.9467034131863471,0.9359916742151213,0.9662921348314607,0.9560071869653812,0.024915980994321463,0.9127138935480702,7.688,50,0.07204116638078906
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.003,23,fedavg,5,6560,0.9641335980110625,0.9634089463642145,0.9629367664347525,0.9641335980110625,0.9640966726951697,0.0016224359717232906,0.9304621506177555,14.44,50,0.0021007188698517476
