run_id,exp,model,variant,mode,partition,alpha,seed,n_params,rounds,final_accuracy,final_f1_macro,final_f1_weighted,best_accuracy,bytes_per_round_uplink_per_client,total_uplink_bytes
e1_botiot_binary_kan_h8__dir0.1__seed37,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,0.1,37,3280,50,0.9963189238152138,0.9963189122425136,0.9963189264568084,0.9969741939214062,15376,7688000
e1_botiot_binary_kan_h8__dir0.1__seed42,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,0.1,42,3280,50,0.9968778306704955,0.9968778299456934,0.996877833221799,0.9973403742748665,15376,7688000
e1_botiot_binary_kan_h8__dir0.1__seed43,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,0.1,43,3280,50,0.918380326478694,0.9178248507582386,0.9178395644845422,0.9588143465607956,15376,7688000
e1_botiot_binary_kan_h8__dir1.0__seed2024,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,1.0,2024,3280,50,0.9960876520130283,0.9960876520130283,0.9960876520130283,0.9962996511650317,15376,7688000
e1_botiot_binary_kan_h8__dir1.0__seed2026,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,1.0,2026,3280,50,0.9973018289745023,0.9973018288933244,0.9973018299125571,0.9973403742748665,15376,7688000
e1_botiot_binary_kan_h8__dir1.0__seed42,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,1.0,42,3280,50,0.9963960144159424,0.9963960105124448,0.9963960186808749,0.9971861930734095,15376,7688000
e1_botiot_binary_kan_h8__iid__seed2024,e1_botiot_binary_kan_h8,kan,kan_h8,binary,iid,,2024,3280,50,0.9755430069188814,0.9755326408884655,0.9755315441080936,0.9759862778730704,15376,7688000
e1_botiot_binary_kan_h8__iid__seed2026,e1_botiot_binary_kan_h8,kan,kan_h8,binary,iid,,2026,3280,50,0.9755430069188814,0.9755318091707776,0.9755306692198447,0.9757550060708848,15376,7688000
e1_botiot_binary_kan_h8__iid__seed42,e1_botiot_binary_kan_h8,kan,kan_h8,binary,iid,,42,3280,50,0.9744830111588645,0.9744714750426096,0.9744702931920776,0.9746371923603214,15376,7688000
e1_botiot_binary_mlp_h32__dir0.1__seed11,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,11,1346,50,0.9797829899589493,0.9797757164124359,0.9797765516875944,0.9807658951182378,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed17,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,17,1346,50,0.998169098232698,0.9981690945086759,0.9981691001953583,0.9987472777381617,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed2024,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,2024,1346,50,0.8096440341511362,0.8024222542618775,0.8025045184884387,0.8895098965058685,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed2026,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,2026,1346,50,0.6044095823616705,0.5351923108547162,0.5348016824933175,0.66585079114229,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed23,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,23,1346,50,0.9665812245841926,0.966549138114033,0.9665468818781101,0.9721895657871914,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed29,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,29,1346,50,0.730587623104053,0.7196249368990892,0.7195041977625238,0.7439435696802668,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed31,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,31,1346,50,0.969684121263515,0.96967680434988,0.9696757785294821,0.9701273922177038,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed37,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,37,1346,50,0.9956829263592036,0.9956828816383819,0.9956829118985787,0.9956829263592036,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed42,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,42,1346,50,0.9977836452290555,0.9977836444881465,0.9977836472789033,0.9979956443810588,5384,2692000
e1_botiot_binary_mlp_h32__dir0.1__seed43,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,0.1,43,1346,50,0.9101894501512903,0.9094657737403615,0.9094834015555016,0.9101894501512903,5384,2692000
e1_botiot_binary_mlp_h32__dir1.0__seed2024,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,1.0,2024,1346,50,0.9972054657235917,0.9972054633320653,0.9972054689621169,0.9972825563243202,5384,2692000
