[run] device=cpu  seed=29  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_toniot/lrext_kan8_lr0p3__dir0.1__seed29
[run] model=kan  params=3,280
  round   1/50: acc=0.3578  f1m=0.3307  uplink_kB=150.2  t=2.74s
  round   2/50: acc=0.5627  f1m=0.5621  uplink_kB=150.2  t=1.98s
  round   3/50: acc=0.4844  f1m=0.3284  uplink_kB=150.2  t=2.01s
  round   4/50: acc=0.3997  f1m=0.3991  uplink_kB=150.2  t=1.98s
  round   5/50: acc=0.3997  f1m=0.3991  uplink_kB=150.2  t=1.95s
  round   6/50: acc=0.3997  f1m=0.3991  uplink_kB=150.2  t=1.97s
  round   7/50: acc=0.3997  f1m=0.3991  uplink_kB=150.2  t=1.98s
  round   8/50: acc=0.3997  f1m=0.3991  uplink_kB=150.2  t=1.98s
  round   9/50: acc=0.3997  f1m=0.3991  uplink_kB=150.2  t=2.00s
  round  10/50: acc=0.3997  f1m=0.3992  uplink_kB=150.2  t=1.99s
  round  11/50: acc=0.3972  f1m=0.3970  uplink_kB=150.2  t=1.99s
  round  12/50: acc=0.3972  f1m=0.3970  uplink_kB=150.2  t=1.94s
  round  13/50: acc=0.3972  f1m=0.3970  uplink_kB=150.2  t=1.97s
  round  14/50: acc=0.3972  f1m=0.3970  uplink_kB=150.2  t=1.94s
  round  15/50: acc=0.3973  f1m=0.3971  uplink_kB=150.2  t=2.00s
  round  16/50: acc=0.3973  f1m=0.3971  uplink_kB=150.2  t=2.00s
  round  17/50: acc=0.3973  f1m=0.3971  uplink_kB=150.2  t=1.94s
  round  18/50: acc=0.3974  f1m=0.3971  uplink_kB=150.2  t=1.98s
  round  19/50: acc=0.3974  f1m=0.3972  uplink_kB=150.2  t=1.84s
  round  20/50: acc=0.3974  f1m=0.3972  uplink_kB=150.2  t=1.96s
  round  21/50: acc=0.3974  f1m=0.3972  uplink_kB=150.2  t=1.94s
  round  22/50: acc=0.3974  f1m=0.3972  uplink_kB=150.2  t=1.97s
  round  23/50: acc=0.3974  f1m=0.3972  uplink_kB=150.2  t=2.06s
  round  24/50: acc=0.3975  f1m=0.3972  uplink_kB=150.2  t=1.96s
  round  25/50: acc=0.3975  f1m=0.3972  uplink_kB=150.2  t=1.91s
  round  26/50: acc=0.3975  f1m=0.3972  uplink_kB=150.2  t=1.99s
  round  27/50: acc=0.3975  f1m=0.3972  uplink_kB=150.2  t=1.99s
  round  28/50: acc=0.3975  f1m=0.3972  uplink_kB=150.2  t=2.02s
  round  29/50: acc=0.3975  f1m=0.3972  uplink_kB=150.2  t=1.98s
  round  30/50: acc=0.3975  f1m=0.3972  uplink_kB=150.2  t=1.98s
  round  31/50: acc=0.3975  f1m=0.3973  uplink_kB=150.2  t=1.98s
  round  32/50: acc=0.3975  f1m=0.3973  uplink_kB=150.2  t=1.99s
  round  33/50: acc=0.3975  f1m=0.3973  uplink_kB=150.2  t=1.96s
  round  34/50: acc=0.3975  f1m=0.3973  uplink_kB=150.2  t=1.98s
  round  35/50: acc=0.3976  f1m=0.3973  uplink_kB=150.2  t=1.97s
  round  36/50: acc=0.3976  f1m=0.3973  uplink_kB=150.2  t=1.93s
  round  37/50: acc=0.3976  f1m=0.3974  uplink_kB=150.2  t=1.96s
  round  38/50: acc=0.3977  f1m=0.3975  uplink_kB=150.2  t=1.91s
  round  39/50: acc=0.3977  f1m=0.3975  uplink_kB=150.2  t=1.93s
  round  40/50: acc=0.3977  f1m=0.3975  uplink_kB=150.2  t=1.97s
  round  41/50: acc=0.3977  f1m=0.3975  uplink_kB=150.2  t=1.95s
  round  42/50: acc=0.3977  f1m=0.3975  uplink_kB=150.2  t=1.97s
  round  43/50: acc=0.3977  f1m=0.3975  uplink_kB=150.2  t=1.98s
  round  44/50: acc=0.3977  f1m=0.3975  uplink_kB=150.2  t=2.01s
  round  45/50: acc=0.3977  f1m=0.3975  uplink_kB=150.2  t=1.97s
  round  46/50: acc=0.3977  f1m=0.3975  uplink_kB=150.2  t=1.82s
  round  47/50: acc=0.3977  f1m=0.3975  uplink_kB=150.2  t=2.00s
  round  48/50: acc=0.3977  f1m=0.3975  uplink_kB=150.2  t=1.97s
  round  49/50: acc=0.3977  f1m=0.3975  uplink_kB=150.2  t=2.00s
  round  50/50: acc=0.3977  f1m=0.3975  uplink_kB=150.2  t=1.91s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_toniot/lrext_kan8_lr0p3__dir0.1__seed29/metrics.json  final_acc=0.3977
